idcategoria,categoria,Tipo,Material,Area,Precio
1,Placa-Polilam,Placa,Polilam,1,2000
1,Placa-Polilam,Placa,Polilam,32,3000
1,Placa-Polilam,Placa,Polilam,200,4000
1,Placa-Polilam,Placa,Polilam,300,6000
1,Placa-Polilam,Placa,Polilam,450,7000
1,Placa-Polilam,Placa,Polilam,800,15000
1,Placa-Polilam,Placa,Polilam,2400,40000
1,Placa-Polilam,Placa,Polilam,5000,100000
1,Placa-Polilam,Placa,Polilam,18000,350000
3,Placa-Acrilico Capsulado,Placa,Acrilico Capsulado,1,4000
3,Placa-Acrilico Capsulado,Placa,Acrilico Capsulado,32,5500
3,Placa-Acrilico Capsulado,Placa,Acrilico Capsulado,200,13000
3,Placa-Acrilico Capsulado,Placa,Acrilico Capsulado,300,16000
3,Placa-Acrilico Capsulado,Placa,Acrilico Capsulado,450,23000
3,Placa-Acrilico Capsulado,Placa,Acrilico Capsulado,800,35000
3,Placa-Acrilico Capsulado,Placa,Acrilico Capsulado,2400,60000
3,Placa-Acrilico Capsulado,Placa,Acrilico Capsulado,5000,150000
3,Placa-Acrilico Capsulado,Placa,Acrilico Capsulado,18000,379950
2,Placa-Acrilico Grabada,Placa,Acrilico Grabada,1,4000
2,Placa-Acrilico Grabada,Placa,Acrilico Grabada,32,6000
2,Placa-Acrilico Grabada,Placa,Acrilico Grabada,200,18000
2,Placa-Acrilico Grabada,Placa,Acrilico Grabada,300,25000
2,Placa-Acrilico Grabada,Placa,Acrilico Grabada,450,35000
2,Placa-Acrilico Grabada,Placa,Acrilico Grabada,800,69950
2,Placa-Acrilico Grabada,Placa,Acrilico Grabada,2400,150000
2,Placa-Acrilico Grabada,Placa,Acrilico Grabada,5000,400000
2,Placa-Acrilico Grabada,Placa,Acrilico Grabada,18000,2000000
5,Placa-Lamina galvanizada,Placa,Lamina galvanizada,32,10000
5,Placa-Lamina galvanizada,Placa,Lamina galvanizada,200,16000
5,Placa-Lamina galvanizada,Placa,Lamina galvanizada,300,31000
5,Placa-Lamina galvanizada,Placa,Lamina galvanizada,450,38000
5,Placa-Lamina galvanizada,Placa,Lamina galvanizada,800,48950
5,Placa-Lamina galvanizada,Placa,Lamina galvanizada,2400,94000
5,Placa-Lamina galvanizada,Placa,Lamina galvanizada,5000,202000
5,Placa-Lamina galvanizada,Placa,Lamina galvanizada,18000,480000
7,Placa fotoluminiscente-Polilam,Placa fotoluminiscente,Polilam,1,4000
7,Placa fotoluminiscente-Polilam,Placa fotoluminiscente,Polilam,32,8000
7,Placa fotoluminiscente-Polilam,Placa fotoluminiscente,Polilam,200,10000
7,Placa fotoluminiscente-Polilam,Placa fotoluminiscente,Polilam,300,13000
7,Placa fotoluminiscente-Polilam,Placa fotoluminiscente,Polilam,450,15000
7,Placa fotoluminiscente-Polilam,Placa fotoluminiscente,Polilam,800,35000
7,Placa fotoluminiscente-Polilam,Placa fotoluminiscente,Polilam,2400,72000
7,Placa fotoluminiscente-Polilam,Placa fotoluminiscente,Polilam,5000,180000
7,Placa fotoluminiscente-Polilam,Placa fotoluminiscente,Polilam,18000,470000
8,Placa fotoluminiscente-Acrilico,Placa fotoluminiscente,Acrilico,32,3000
8,Placa fotoluminiscente-Acrilico,Placa fotoluminiscente,Acrilico,200,14000
8,Placa fotoluminiscente-Acrilico,Placa fotoluminiscente,Acrilico,300,16500
