Idproducto1,Idproducto2,Tipo de producto,Tipo,Material,Area,Precio
1,1,Placa Poliestireno,Placa,Poliestireno,1,7.60090246
1,1,Placa Poliestireno,Placa,Poliestireno,32,8.517193191
1,1,Placa Poliestireno,Placa,Poliestireno,200,8.699514748
1,1,Placa Poliestireno,Placa,Poliestireno,300,8.987196821
1,1,Placa Poliestireno,Placa,Poliestireno,450,9.392661929
1,1,Placa Poliestireno,Placa,Poliestireno,800,10.30895266
1,1,Placa Poliestireno,Placa,Poliestireno,2400,11.40756495
1,1,Placa Poliestireno,Placa,Poliestireno,5000,12.10071213
1,1,Placa Poliestireno,Placa,Poliestireno,18000,12.79385931
1,2,Placa Acrilico,Placa,Acrilico,1,8.006367568
1,2,Placa Acrilico,Placa,Acrilico,32,8.699514748
1,2,Placa Acrilico,Placa,Acrilico,200,10.08580911
1,2,Placa Acrilico,Placa,Acrilico,300,10.30895266
1,2,Placa Acrilico,Placa,Acrilico,450,10.69194491
1,2,Placa Acrilico,Placa,Acrilico,800,11.40756495
1,2,Placa Acrilico,Placa,Acrilico,2400,11.65268741
1,2,Placa Acrilico,Placa,Acrilico,5000,12.52452638
1,2,Placa Acrilico,Placa,Acrilico,18000,13.36922346
1,3,Placa Lamina,Placa,Lamina,32,9.546812609
1,3,Placa Lamina,Placa,Lamina,150,10.23995979
1,3,Placa Lamina,Placa,Lamina,264,10.77895629
1,3,Placa Lamina,Placa,Lamina,450,11.00209984
1,3,Placa Lamina,Placa,Lamina,800,11.33857208
1,3,Placa Lamina,Placa,Lamina,2400,11.80559508
1,3,Placa Lamina,Placa,Lamina,5000,12.7367009
1,3,Placa Lamina,Placa,Lamina,18000,13.48700649
2,4,Placa fotoluminiscente Poliestireno,Placa fotoluminiscente,Poliestireno,9,8.29404964
2,4,Placa fotoluminiscente Poliestireno,Placa fotoluminiscente,Poliestireno,40,8.987196821
2,4,Placa fotoluminiscente Poliestireno,Placa fotoluminiscente,Poliestireno,200,10.08580911
2,4,Placa fotoluminiscente Poliestireno,Placa fotoluminiscente,Poliestireno,300,10.30895266
